name,bmse_id,formula,gissmo_name,ph,temperature_k,solvent,roi_rmsd,peak_ppm,frac_area_in_water_window
glucose,bmse000015,C6H12O6,(+/-)-Glucose,7.4,298.0,,0.01206,3.8209329294809677,0.0
L-lactate,bmse000208,C3H6O3,L-lactic-acid,7.4,298.0,,0.00736,1.3235269434123484,0.0
L-alanine,bmse000028,C3H7NO2,L-alanine,7.4,298.0,,0.00494,1.4722097183968987,0.0
L-valine,bmse000052,C5H11NO2,L-valine,7.4,298.0,,0.01421,1.0272028137421696,0.0
L-isoleucine,bmse000041,C6H13NO2,L-isoleucine,7.4,298.0,,0.00773,1.00437167641965,0.0
L-leucine,bmse000042,C6H13NO2,L-leucine,7.4,298.0,,0.03603,0.9485355265466797,0.0
L-glutamine,bmse000038,C5H10N2O3,L-glutamine,7.4,298.0,,0.01157,2.434001419078209,0.0
L-glutamate,bmse000037,C5H9NO4,L-glutamic-acid,7.4,298.0,,0.00829,2.3417155587429708,0.0
glycine,bmse000089,C2H5NO2,Glycine,7.4,298.0,,0.01828,3.5443156762365433,0.0
citrate,bmse000076,C6H8O7,Citrate,7.4,298.0,,0.00829,2.6313105110970385,0.0
creatine,bmse000078,C4H9N3O2,Creatine,7.4,298.0,,0.00831,3.0240060730443803,0.0
creatinine,bmse000155,C4H7N3O,Creatinine,7.4,298.0,,0.01304,3.0340197297647835,0.0
pyruvate,bmse000112,C3H4O3,Pyruvic-acid,7.4,298.0,,0.00374,2.3639859312891485,0.0
acetate,bmse000191,C2H4O2,Acetic-acid,7.4,298.0,,0.00796,1.9049599072258534,0.0
3-hydroxybutyrate,bmse000161,C4H8O3,3-Hydroxybutyrate,7.4,298.0,,0.00653,1.1920676579868914,0.0
2-hydroxybutyrate,bmse000361,C4H8O3,2-Hydroxybutanoic-acid,7.4,298.0,,0.00883,0.8858900901038371,0.0
formate,bmse000203,CH2O2,Formate,7.4,298.0,,0.00677,8.44796331759123,0.0
L-histidine,bmse000039,C6H9N3O2,L-histidine,7.4,298.0,,0.02089,7.067360438235765,0.0
L-phenylalanine,bmse000045,C9H11NO2,L-phenylalanine,7.4,298.0,,0.02086,7.3189034950523,0.0
L-tyrosine,bmse000051,C9H11NO3,L-tyrosine,11.15,298.0,,0.01231,6.599922942527332,0.0
L-threonine,bmse000049,C4H9NO3,L-threonine,7.4,298.0,,0.01334,1.3058227983306754,0.0
L-proline,bmse000047,C5H9NO2,L-proline,7.4,298.0,,0.01504,1.9895552791998217,0.0
