feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg_C0p1,100,0.28152173913043477,0.07368589533674098,0.2440972424646256,0.05791933518916831,0.2876879177560696,0.27825844155844154
direct_binned,bins1024_auc,svm_C1p0,100,0.26891304347826084,0.06720719779783302,0.23318222835827757,0.055508841237274315,0.2743440778166282,0.26837694805194806
direct_binned,bins1024_auc,xgboost_depth2,100,0.26753623188405795,0.09534002824827226,0.10341031450163886,0.028525582841104447,0.06688405797101449,0.25
direct_binned,bins2048_auc,logreg_C0p1,100,0.2816666666666667,0.07292820715082433,0.24429973218149117,0.05787957656543133,0.2882827314715387,0.278512987012987
direct_binned,bins2048_auc,svm_C1p0,100,0.27007246376811594,0.06723844312585399,0.23401889322885605,0.055846292069090066,0.2744376914511795,0.26928051948051945
direct_binned,bins2048_auc,xgboost_depth2,100,0.26753623188405795,0.09534002824827226,0.10341031450163886,0.028525582841104447,0.06688405797101449,0.25
foundation_backbone,mae_flatten,logreg_C0p1,100,0.28891304347826086,0.054516208194892855,0.2541660107488545,0.0472193190093599,0.285909846803817,0.2819531385281385
foundation_backbone,mae_flatten,svm_C1p0,100,0.2826086956521739,0.04985451072596689,0.2485077555733345,0.04451720000909549,0.28233574187023863,0.27706482683982686
foundation_backbone,mae_flatten,xgboost_depth2,100,0.26753623188405795,0.09534002824827226,0.10341031450163886,0.028525582841104447,0.06688405797101449,0.25
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.2756521739130435,0.05434338536485997,0.2375435938262144,0.04838092456378751,0.27025899699870637,0.27013560606060605
