bmse_id,simulation,name,inchi,inchi_skeleton,formula,ref_field_mhz,n_sim_points,roi_rmsd,ph,temperature_k,solvent,reference,sim_csv,has_field
bmse000001,simulation_1,1-3-Diaminopropane,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,1S/C3H10N2/c4-2-1-3-5,C3H10N2,499.84,32768,0.00986,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000001/simulation_1/B0s/sim_600MHz.csv,True
bmse000001,simulation_2,1-3-Diaminopropane,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,1S/C3H10N2/c4-2-1-3-5,C3H10N2,600.13,32768,0.01801,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000001/simulation_2/B0s/sim_600MHz.csv,True
bmse000002,simulation_1,2-3-Diphospho-D-glyceric-acid,"InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1","1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8",C3H8O10P2,499.84,32768,0.04871,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000002/simulation_1/B0s/sim_600MHz.csv,True
bmse000003,simulation_1,2-Deoxyguanosine,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6,C10H13N5O4,400.13,32768,0.02059,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000003/simulation_1/B0s/sim_600MHz.csv,True
bmse000005,simulation_1,AMP,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20",C10H14N5O7P,499.84,32768,0.01282,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000005/simulation_1/B0s/sim_600MHz.csv,True
bmse000006,simulation_1,ATP,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20",C10H16N5O13P3,499.84,32768,0.02782,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000006/simulation_1/B0s/sim_600MHz.csv,True
bmse000007,simulation_1,D-3-phosphoglyceric-acid,"InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1","1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9",C3H7O7P,400.13,32768,0.00912,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000007/simulation_1/B0s/sim_600MHz.csv,True
bmse000015,simulation_1,(+/-)-Glucose,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1",1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2,C6H12O6,499.84,32768,0.01206,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000015/simulation_1/B0s/sim_600MHz.csv,True
bmse000019,simulation_1,D-ornithine,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m1/s1",1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9,C5H12N2O2,499.84,32768,0.01975,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000019/simulation_1/B0s/sim_600MHz.csv,True
bmse000025,simulation_1,D-threo-isocitric-acid,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/t2-,4-/m1/s1",1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13,C6H8O7,400.13,32768,0.00676,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000025/simulation_1/B0s/sim_600MHz.csv,True
bmse000028,simulation_1,L-alanine,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",1S/C3H7NO2/c1-2(4)3(5)6,C3H7NO2,400.13,32768,0.00494,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000028/simulation_1/B0s/sim_600MHz.csv,True
bmse000029,simulation_1,L-arginine,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9,C6H14N4O2,499.84,32768,0.00834,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000029/simulation_1/B0s/sim_600MHz.csv,True
bmse000030,simulation_1,L-asparagine,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7,C4H8N2O3,499.84,32768,0.01320,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000030/simulation_1/B0s/sim_600MHz.csv,True
bmse000031,simulation_1,L-aspartic-acid,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",1S/C4H7NO4/c5-2(4(8)9)1-3(6)7,C4H7NO4,400.13,32768,0.00535,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000031/simulation_1/B0s/sim_600MHz.csv,True
bmse000032,simulation_1,L-citrulline,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12,C6H13N3O3,499.84,32768,0.02702,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000032/simulation_1/B0s/sim_600MHz.csv,True
bmse000033,simulation_1,L-cystathionine,"InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5+/m0/s1",1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13,C7H14N2O4S,400.13,32768,0.01694,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000033/simulation_1/B0s/sim_600MHz.csv,True
bmse000034,simulation_1,L-cysteine,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",1S/C3H7NO2S/c4-2(1-7)3(5)6,C3H7NO2S,499.84,32768,0.01256,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000034/simulation_1/B0s/sim_600MHz.csv,True
bmse000035,simulation_1,L-cystine,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12,C6H12N2O4S2,499.84,32768,0.01472,12.19,298,,,/reboxitory/2023/12/GISSMO/bmse000035/simulation_1/B0s/sim_600MHz.csv,True
bmse000037,simulation_1,L-glutamic-acid,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8,C5H9NO4,499.84,32768,0.00829,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000037/simulation_1/B0s/sim_600MHz.csv,True
bmse000038,simulation_1,L-glutamine,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8,C5H10N2O3,400.13,32768,0.01157,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000038/simulation_1/B0s/sim_600MHz.csv,True
bmse000039,simulation_1,L-histidine,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4,C6H9N3O2,499.84,32768,0.02089,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000039/simulation_1/B0s/sim_600MHz.csv,True
bmse000040,simulation_1,L-Homoserine,"InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1",1S/C4H9NO3/c5-3(1-2-6)4(7)8,C4H9NO3,400.13,32768,0.02443,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000040/simulation_1/B0s/sim_600MHz.csv,True
bmse000041,simulation_1,L-isoleucine,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",1S/C6H13NO2/c1-3-4(2)5(7)6(8)9,C6H13NO2,499.84,32768,0.00773,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000041/simulation_1/B0s/sim_600MHz.csv,True
bmse000042,simulation_1,L-leucine,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",1S/C6H13NO2/c1-4(2)3-5(7)6(8)9,C6H13NO2,899.75,32768,0.03603,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000042/simulation_1/B0s/sim_600MHz.csv,True
bmse000043,simulation_1,L-lysine,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10,C6H14N2O2,499.84,32768,0.01184,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000043/simulation_1/B0s/sim_600MHz.csv,True
bmse000044,simulation_1,L-methionine,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8,C5H11NO2S,499.84,32768,0.00553,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000044/simulation_1/B0s/sim_600MHz.csv,True
bmse000045,simulation_1,L-phenylalanine,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7,C9H11NO2,499.84,32768,0.02086,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000045/simulation_1/B0s/sim_600MHz.csv,True
bmse000046,simulation_1,Malic-acid,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",1S/C4H6O5/c5-2(4(8)9)1-3(6)7,C4H6O5,499.84,32768,0.01153,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000046/simulation_1/B0s/sim_600MHz.csv,True
bmse000047,simulation_1,L-proline,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",1S/C5H9NO2/c7-5(8)4-2-1-3-6-4,C5H9NO2,499.84,32768,0.01504,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000047/simulation_1/B0s/sim_600MHz.csv,True
bmse000047,simulation_2,L-proline,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",1S/C5H9NO2/c7-5(8)4-2-1-3-6-4,C5H9NO2,899.75,262144,0.05933,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000047/simulation_2/B0s/sim_600MHz.csv,True
bmse000048,simulation_1,L-serine,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",1S/C3H7NO3/c4-2(1-5)3(6)7,C3H7NO3,499.84,32768,0.01123,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000048/simulation_1/B0s/sim_600MHz.csv,True
bmse000049,simulation_1,L-threonine,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",1S/C4H9NO3/c1-2(6)3(5)4(7)8,C4H9NO3,499.84,32768,0.01334,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000049/simulation_1/B0s/sim_600MHz.csv,True
bmse000050,simulation_1,L-tryptophan,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10,C11H12N2O2,499.84,32768,0.01856,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000050/simulation_1/B0s/sim_600MHz.csv,True
bmse000051,simulation_1,L-tyrosine,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6,C9H11NO3,499.84,32768,0.01231,11.15,298,,,/reboxitory/2023/12/GISSMO/bmse000051/simulation_1/B0s/sim_600MHz.csv,True
bmse000052,simulation_1,L-valine,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",1S/C5H11NO2/c1-3(2)4(6)5(7)8,C5H11NO2,499.84,32768,0.01421,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000052/simulation_1/B0s/sim_600MHz.csv,True
bmse000058,simulation_1,O-succinyl-L-homoserine,"InChI=1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)/t5-/m0/s1",1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11,C8H13NO6,400.13,32768,0.01298,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000058/simulation_1/B0s/sim_600MHz.csv,True
bmse000060,simulation_1,Adenine,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4,C5H5N5,499.84,32768,0.00477,11.6,298,,,/reboxitory/2023/12/GISSMO/bmse000060/simulation_1/B0s/sim_600MHz.csv,True
bmse000061,simulation_1,Adenosine,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10,C10H13N5O4,499.84,32768,0.00741,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000061/simulation_1/B0s/sim_600MHz.csv,True
bmse000063,simulation_1,Agmatine,"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)",1S/C5H14N4/c6-3-1-2-4-9-5(7)8,C5H14N4,499.84,32768,0.01030,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000063/simulation_1/B0s/sim_600MHz.csv,True
bmse000064,simulation_1,Alpha-ketoglutaric-acid,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8,C5H6O5,400.13,32768,0.01795,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000064/simulation_1/B0s/sim_600MHz.csv,True
bmse000066,simulation_1,4-Aminobenzoic-acid,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10,C7H7NO2,499.84,32768,0.01355,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000066/simulation_1/B0s/sim_600MHz.csv,True
bmse000067,simulation_1,Anthranilic-acid,"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10,C7H7NO2,499.84,32768,0.01169,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000067/simulation_1/B0s/sim_600MHz.csv,True
bmse000069,simulation_1,Betaine,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","1S/C5H11NO2/c1-6(2,3)4-5(7)8",C5H11NO2,499.84,32768,0.00592,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000069/simulation_1/B0s/sim_600MHz.csv,True
bmse000070,simulation_1,Betaine-aldehyde,"InChI=1S/C5H12NO/c1-6(2,3)4-5-7/h5H,4H2,1-3H3/q+1","1S/C5H12NO/c1-6(2,3)4-5-7",C5H12NO,400.13,32768,0.14416,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000070/simulation_1/B0s/sim_600MHz.csv,True
bmse000072,simulation_1,Cadaverine,InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2,1S/C5H14N2/c6-4-2-1-3-5-7,C5H14N2,499.84,32768,0.01443,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000072/simulation_1/B0s/sim_600MHz.csv,True
bmse000073,simulation_1,L-canavanine,"InChI=1S/C5H12N4O3/c6-3(4(10)11)1-2-12-9-5(7)8/h3H,1-2,6H2,(H,10,11)(H4,7,8,9)/t3-/m0/s1",1S/C5H12N4O3/c6-3(4(10)11)1-2-12-9-5(7)8,C5H12N4O3,400.13,32768,0.00810,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000073/simulation_1/B0s/sim_600MHz.csv,True
bmse000074,simulation_1,D-carnitine,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1","1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11",C7H15NO3,499.84,32768,0.01387,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000074/simulation_1/B0s/sim_600MHz.csv,True
bmse000076,simulation_1,Citrate,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)","1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10",C6H8O7,499.84,32768,0.00829,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000076/simulation_1/B0s/sim_600MHz.csv,True
bmse000077,simulation_1,Coumarin,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9,C9H6O2,400.13,32768,0.01443,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000077/simulation_1/B0s/sim_600MHz.csv,True
bmse000078,simulation_1,Creatine,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9,C4H9N3O2,499.84,32768,0.00831,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000078/simulation_1/B0s/sim_600MHz.csv,True
bmse000079,simulation_1,Creatine-phosphate,"InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)","1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12",C4H10N3O5P,400.13,32768,0.00581,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000079/simulation_1/B0s/sim_600MHz.csv,True
bmse000080,simulation_1,Dehydro-proline,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1-2,4,6H,3H2,(H,7,8)/t4-/m0/s1",1S/C5H7NO2/c7-5(8)4-2-1-3-6-4,C5H7NO2,400.13,32768,0.01448,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000080/simulation_1/B0s/sim_600MHz.csv,True
bmse000083,simulation_1,Fumaric-acid,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",1S/C4H4O4/c5-3(6)1-2-4(7)8,C4H4O4,400.13,32768,0.00913,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000083/simulation_1/B0s/sim_600MHz.csv,True
bmse000084,simulation_1,Gluconic acid,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1",1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13,C6H12O7,400.13,32768,0.00874,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000084/simulation_1/B0s/sim_600MHz.csv,True
bmse000089,simulation_1,Glycine,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",1S/C2H5NO2/c3-1-2(4)5,C2H5NO2,499.84,32768,0.01828,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000089/simulation_1/B0s/sim_600MHz.csv,True
bmse000090,simulation_1,Guanine,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3,C5H5N5O,400.13,32768,0.00389,12.0,298,,,/reboxitory/2023/12/GISSMO/bmse000090/simulation_1/B0s/sim_600MHz.csv,True
bmse000091,simulation_1,Guanosine,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9,C10H13N5O5,499.84,32768,0.00850,11.36,298,,,/reboxitory/2023/12/GISSMO/bmse000091/simulation_1/B0s/sim_600MHz.csv,True
bmse000092,simulation_1,4-Hydroxy-benzoic acid,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10,C7H6O3,400.13,32768,0.00736,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000092/simulation_1/B0s/sim_600MHz.csv,True
bmse000093,simulation_1,Trans-3-hydroxycinnamic-acid,"InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+",1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12,C9H8O3,400.13,32768,0.01744,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000093/simulation_1/B0s/sim_600MHz.csv,True
bmse000094,simulation_1,Hypoxanthine,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5,C5H4N4O,400.13,32768,0.00936,10.5,298,,,/reboxitory/2023/12/GISSMO/bmse000094/simulation_1/B0s/sim_600MHz.csv,True
bmse000095,simulation_1,I-erythritol,"InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+",1S/C4H10O4/c5-1-3(7)4(8)2-6,C4H10O4,400.13,32768,0.01307,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000095/simulation_1/B0s/sim_600MHz.csv,True
bmse000096,simulation_1,Imidazole,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",1S/C3H4N2/c1-2-5-3-4-1,C3H4N2,400.13,32768,0.00929,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000096/simulation_1/B0s/sim_600MHz.csv,True
bmse000097,simulation_1,Indole,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8,C8H7N,400.13,32768,0.01923,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000097/simulation_1/B0s/sim_600MHz.csv,True
bmse000098,simulation_1,Inosine,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18,C10H12N4O5,400.13,32768,0.02092,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000098/simulation_1/B0s/sim_600MHz.csv,True
bmse000100,simulation_1,Meso-erythritol,"InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+",1S/C4H10O4/c5-1-3(7)4(8)2-6,C4H10O4,400.13,32768,0.01433,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000100/simulation_1/B0s/sim_600MHz.csv,True
bmse000101,simulation_1,Methyl-oxobutanoic-acid,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",1S/C5H8O3/c1-3(2)4(6)5(7)8,C5H8O3,400.13,32768,0.01713,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000101/simulation_1/B0s/sim_600MHz.csv,True
bmse000102,simulation_1,Muco-inositol,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5+,6+",1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9,C6H12O6,400.13,32768,0.01005,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000102/simulation_1/B0s/sim_600MHz.csv,True
bmse000103,simulation_1,Myo-inositol,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9,C6H12O6,499.84,32768,0.01059,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000103/simulation_1/B0s/sim_600MHz.csv,True
bmse000104,simulation_1,Niacin,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5,C6H5NO2,400.13,32768,0.01151,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000104/simulation_1/B0s/sim_600MHz.csv,True
