episode,n_query,accuracy,macro_f1,macro_precision,macro_recall
1,39,0.6153846153846154,0.5838596491228071,0.5943646996278575,0.5914786967418547
2,39,0.5641025641025641,0.515079365079365,0.5266025641025641,0.5183792815371763
3,39,0.23076923076923078,0.21812027080844285,0.47525676937441647,0.33500417710944025
